1  IEA-3.4MW-RWT, Based on IEA-3.4MW-130D-RWT, version 4.30. aerodynamic Data from the Excel file
7				
1    145  21.00   DU08-W-210  (Re=12x10^6)
-65.00		-0.42446	1.20570		0.26020
-60.00		-0.49743	1.11267		0.25380
-55.00		-0.55239	0.99738		0.24438
-50.00		-0.60734	0.88209		0.23496
-45.00		-0.64818	0.75888		0.22630
-40.00		-0.68110	0.63541		0.22044
-38.00		-0.69261	0.58681		0.21943
-36.00		-0.70354	0.53903		0.21949
-34.00		-0.71422	0.49229		0.22089
-32.00		-0.72506	0.44683		0.22396
-30.00		-0.73660	0.40288		0.22914
-28.00		-0.74950	0.36065		0.23701
-26.00		-0.76461	0.32035		0.24834
-24.00		-0.78307	0.28218		0.26420
-22.00		-0.81181	0.24608		0.24518
-20.00		-0.84743	0.21034		0.18694
-19.00		-0.86524	0.19248		0.15782
-18.00		-0.88305	0.17461		0.12870
-17.00		-0.90085	0.15674		0.09958
-16.00		-0.91866	0.13887		0.07046
-15.00		-0.93647	0.12101		0.04134
-14.00		-0.95428	0.10314		0.01223
-13.50		-0.96318	0.09420		-0.00233
-13.00		-0.97208	0.08527		-0.01689
-12.50		-0.96078	0.07452		-0.02419
-12.00		-0.94948	0.06377		-0.03149
-11.50		-0.92624	0.05452		-0.03315
-11.00		-0.90300	0.04527		-0.03481
-10.50		-0.87112	0.03842		-0.03893
-10.00		-0.83924	0.03157		-0.04305
-9.50		-0.80604	0.02613		-0.04705
-9.00		-0.77284	0.02069		-0.05105
-8.50		-0.71749	0.01674		-0.05947
-8.00		-0.66214	0.01278		-0.06788
-7.50		-0.59492	0.01163		-0.07388
-7.00		-0.52770	0.01048		-0.07988
-6.50		-0.45743	0.00976		-0.08608
-6.00		-0.38716	0.00905		-0.09227
-5.50		-0.31710	0.00874		-0.09708
-5.00		-0.24704	0.00844		-0.10189
-4.50		-0.17873	0.00829		-0.10519
-4.00		-0.11042	0.00815		-0.10850
-3.50		-0.04392	0.00798		-0.11138
-3.00		0.02284		0.00782		-0.11378
-2.50		0.08886		0.00771		-0.11621
-2.00		0.15462		0.00760		-0.11855
-1.50		0.21918		0.00756		-0.12049
-1.00		0.28346		0.00753		-0.12240
-0.50		0.34559		0.00760		-0.12410
0.00		0.40775		0.00766		-0.12579
0.50		0.47025		0.00766		-0.12733
1.00		0.53287		0.00766		-0.12869
1.50		0.59550		0.00766		-0.13005
2.00		0.65800		0.00779		-0.13130
2.50		0.72050		0.00793		-0.13255
3.00		0.78183		0.00806		-0.13364
3.50		0.84299		0.00818		-0.13471
4.00		0.90376		0.00831		-0.13562
4.50		0.96410		0.00848		-0.13633
5.00		1.02445		0.00866		-0.13704
5.50		1.08280		0.00890		-0.13728
6.00		1.14115		0.00915		-0.13753
6.50		1.19476		0.00948		-0.13706
7.00		1.24837		0.00981		-0.13658
7.50		1.28898		0.01055		-0.13420
8.00		1.32959		0.01129		-0.13182
8.50		1.34749		0.01299		-0.12728
9.00		1.36539		0.01469		-0.12275
9.50		1.33581		0.02541		-0.12274
10.00		1.30622		0.03612		-0.12274
