1	number of structural components
---------------------------------
#1	flexible blade
      r          mass          x_cg          y_cg        r_gy_x        r_gy_y          x_sc          y_sc             E             G           I_x           I_y           I_p           k_x           k_y          area       theta_s          x_ec          y_ec
$1	55
44.1694   1.40074e+02   1.88226e-01   2.41667e-02   1.85374e-01   2.71758e-01   2.18294e-01   2.94184e-02   2.17586e+09   1.00000e+00   4.61425e-02   8.35815e-02   1.41551e+07   1.63069e+08   4.14103e+07   1.00000e+00  -4.57722e+00   1.91260e-01   2.42667e-02
45.4313   1.39036e+02   1.69822e-01   2.79644e-02   1.75421e-01   2.67812e-01   1.98858e-01   3.31644e-02   2.17000e+09   1.00000e+00   4.12334e-02   8.20768e-02   1.26533e+07   1.65893e+08   3.68634e+07   1.00000e+00  -3.45979e+00   1.72822e-01   2.81609e-02
46.6933   1.37333e+02   1.57132e-01   3.13093e-02   1.67339e-01   2.66158e-01   1.86132e-01   3.67020e-02   2.17964e+09   1.00000e+00   3.69439e-02   8.03388e-02   1.14437e+07   1.67927e+08   3.29421e+07   1.00000e+00  -2.68769e+00   1.60132e-01   3.15093e-02
47.9557   1.36557e+02   1.47506e-01   3.43319e-02   1.59714e-01   2.64138e-01   1.76506e-01   3.99245e-02   2.18963e+09   1.00000e+00   3.33732e-02   7.90428e-02   1.03409e+07   1.68963e+08   2.94300e+07   1.00000e+00  -2.14969e+00   1.50506e-01   3.46282e-02
49.2183   1.35818e+02   1.42218e-01   3.69794e-02   1.53509e-01   2.62738e-01   1.71218e-01   4.29643e-02   2.19962e+09   1.00000e+00   3.05589e-02   7.82123e-02   9.40498e+06   1.70925e+08   2.64129e+07   1.00000e+00  -1.77392e+00   1.45218e-01   3.72794e-02
50.4813   1.36040e+02   1.42933e-01   3.91095e-02   1.48201e-01   2.61634e-01   1.72896e-01   4.54944e-02   2.20962e+09   1.00000e+00   2.84059e-02   7.78414e-02   8.66760e+06   1.71962e+08   2.37983e+07   1.00000e+00  -1.51945e+00   1.45933e-01   3.94095e-02
51.7447   1.16226e+02   1.48908e-01   4.13113e-02   1.43777e-01   2.44575e-01   1.78908e-01   4.36694e-02   1.80581e+09   1.00000e+00   2.78445e-02   6.86021e-02   7.46594e+06   1.47941e+08   2.09092e+07   1.00000e+00  -1.80833e+00   1.51908e-01   4.16113e-02
53.0086   9.74441e+01   1.48417e-01   4.25373e-02   1.37443e-01   2.43176e-01   1.90934e-01   4.50262e-02   1.41448e+09   1.00000e+00   2.70386e-02   7.06622e-02   6.41860e+06   1.21002e+08   1.81039e+07   1.00000e+00  -1.56002e+00   1.52380e-01   4.29336e-02
54.2731   7.86202e+01   1.43995e-01   4.28184e-02   1.28088e-01   2.41684e-01   2.02417e-01   4.57040e-02   1.02410e+09   1.00000e+00   2.58988e-02   7.48387e-02   5.27158e+06   9.36872e+07   1.52049e+07   1.00000e+00  -1.14519e+00   1.48959e-01   4.33148e-02
55.5381   5.96959e+01   1.30562e-01   4.18629e-02   1.12282e-01   2.36316e-01   2.13694e-01   4.53421e-02   6.37395e+08   1.00000e+00   2.36833e-02   8.22721e-02   3.93650e+06   6.55751e+07   1.20110e+07   1.00000e+00  -5.18966e-01   1.37492e-01   4.25559e-02
56.8040   4.05621e+01   9.70640e-02   3.83777e-02   8.09446e-02   2.21699e-01   2.31370e-01   4.47800e-02   2.45735e+08   1.00000e+00   1.94281e-02   1.10379e-01   2.32276e+06   3.64478e+07   8.33986e+06   1.00000e+00   4.69463e-01   1.05999e-01   3.94647e-02
58.0711   3.68928e+01   7.71535e-02   3.55375e-02   7.17323e-02   2.05753e-01   2.10242e-01   4.02907e-02   2.19414e+08   1.00000e+00   1.53706e-02   9.86350e-02   1.77508e+06   3.23946e+07   7.03606e+06   1.00000e+00   7.15497e-01   8.22718e-02   3.66375e-02
59.3396   3.35447e+01   4.59157e-02   3.13594e-02   6.02389e-02   1.85188e-01   1.88662e-01   3.41101e-02   2.03406e+08   1.00000e+00   1.06705e-02   8.22212e-02   1.19471e+06   2.83040e+07   5.39184e+06   1.00000e+00   9.64685e-01   4.60425e-02   3.25569e-02
60.6102   2.53120e+01   1.13643e-02   2.21283e-02   2.95785e-02   1.19502e-01   2.82909e-01   2.77698e-02   4.89620e+07   1.00000e+00   5.61806e-03   8.83139e-02   3.85788e+05   1.61397e+07   1.10440e+06   1.00000e+00   1.12690e+00   1.13643e-02   2.21517e-02
61.8836   2.37759e+01   6.91515e-03   1.42652e-02   1.52512e-02   6.32482e-02   1.84733e-01   1.78893e-02   2.97870e+07   1.00000e+00   2.19237e-03   3.77447e-02   1.01318e+05   1.02654e+07   6.58199e+05   1.00000e+00   1.13989e+00   6.91515e-03   1.42652e-02
63.1613   2.20190e+01   3.00000e-03   3.78000e-03   2.58381e-03   1.08036e-02   5.67300e-02   4.76000e-03   8.96000e+06   1.00000e+00   1.94196e-04   3.38170e-03   2.70000e+03   3.09000e+06   1.96000e+05   1.00000e+00   1.20000e+00   3.00000e-03   3.78000e-03
