------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 3.052970225794768e+01  2.988959840046372e-01  0.000000000000000e+00  1.448941221131262e+00  1.728896190366550e+00  3.245575944227672e+00       24
 3.195442169665190e+01  3.368795326265275e-01  0.000000000000000e+00  1.603274500798810e+00  1.454881688853785e+00  3.101882798659821e+00       25
 3.337914113535613e+01  3.786197710518454e-01  0.000000000000000e+00  1.751213619751127e+00  1.214277509009846e+00  2.951945044695071e+00       26
 3.480386057406035e+01  4.239574871017886e-01  0.000000000000000e+00  1.892758116671932e+00  1.000147840157533e+00  2.801813099644423e+00       27
 3.622858001276457e+01  4.727334685975543e-01  0.000000000000000e+00  2.027907350409632e+00  8.055568716196495e-01  2.657537380818882e+00       28
 3.765329945146880e+01  5.247885033603400e-01  0.000000000000000e+00  2.156660526370758e+00  6.235687927189977e-01  2.525168305529450e+00       29
 3.907801889017303e+01  5.799633792113432e-01  0.000000000000000e+00  2.279202159154413e+00  4.472477927783799e-01  2.410756291087130e+00       30
 4.050273832887725e+01  6.381080988671751e-01  0.000000000000000e+00  2.425981470121307e+00  2.698105683214117e-01  2.320313957245877e+00       31
 4.192745776758148e+01  7.005764620662953e-01  0.000000000000000e+00  2.623408413821624e+00  1.077225627618197e-01  2.251726789956318e+00       32
 4.335217720628570e+01  7.685301009561796e-01  0.000000000000000e+00  2.847419248147892e+00 -3.127313451082385e-02  2.197045769974421e+00       33
 4.477689664498993e+01  8.421262902259800e-01  0.000000000000000e+00  3.077807647868775e+00 -1.572180523172221e-01  2.151052420896494e+00       34
 4.620161608369415e+01  9.215223045648504e-01  0.000000000000000e+00  3.314581326485157e+00 -2.801537194780781e-01  2.108528266318844e+00       35
 4.762633552239838e+01  1.006875418661943e+00  0.000000000000000e+00  3.557748755521481e+00 -4.101216648140951e-01  2.064254829837778e+00       36
 4.905105496110260e+01  1.098342907206411e+00  0.000000000000000e+00  3.807319211258986e+00 -5.571634171459761e-01  2.013013635049603e+00       37
 5.047577439980682e+01  1.196082044887407e+00  0.000000000000000e+00  4.033959774360802e+00 -7.313205052944241e-01  1.949586205550625e+00       38
 5.157993196480260e+01  1.276243657596745e+00  0.000000000000000e+00  4.306869411548097e+00 -8.913312028896440e-01  1.888727969823086e+00       39
 5.268408952979837e+01  1.361922718702348e+00  0.000000000000000e+00  4.657812403736137e+00 -1.085045463390192e+00  1.811085386762033e+00       40
 5.378824709479415e+01  1.455569114729731e+00  0.000000000000000e+00  5.062001386488530e+00 -1.323775509715035e+00  1.710143905969416e+00       41
 5.489240465978992e+01  1.556770537842795e+00  0.000000000000000e+00  5.443757643634233e+00 -1.604172515963535e+00  1.587744533782246e+00       42
 5.599656222478569e+01  1.665068904557534e+00  0.000000000000000e+00  5.801863176495878e+00 -1.922673191915681e+00  1.445851595880273e+00       43
 5.710071978978147e+01  1.780006131389945e+00  0.000000000000000e+00  6.136288379046147e+00 -2.275714247351465e+00  1.286429417943252e+00       44
 5.820487735477725e+01  1.901124134856020e+00  0.000000000000000e+00  6.447001346316400e+00 -2.659732392050871e+00  1.111442325650939e+00       45
 5.930903491977301e+01  2.027964831471756e+00  0.000000000000000e+00  6.714808785636118e+00 -3.071164335793888e+00  9.228546446830869e-01       46
